sourcenodeid,targetnodeid,relationshiptype,efficacyscore,strengthofevidence,recommendeddosagerange,contraindications,synergisticherbs
9,40,herbtreatscondition,0.85,High,250-500mg,"Pregnancy, Pitta excess","Asthisrinkhala, Guggulu"
10,6,herbtreatscondition,0.8,High,500mg-1g,"Pregnancy, Bleeding disorders","Ginger, Black pepper"
10,8,herbtreatscondition,0.75,Medium,500mg-1g,"Pregnancy, Bleeding disorders","Ashwagandha, Brahmi"
10,16,herbtreatscondition,0.82,High,500mg-1g,"Pregnancy, Bleeding disorders","Ginger, Pippali"
10,31,herbtreatscondition,0.75,Medium,500mg-1g,"Pregnancy, Bleeding disorders","Ginger, Maricha"
10,62,herbtreatscondition,0.78,Medium,500mg-1g,"Pregnancy, Bleeding disorders","Tulsi, Ginger"
11,37,herbtreatscondition,0.85,High,1-2g,"Pregnancy, Constipation","Arjuna, Ashwagandha"
11,39,herbtreatscondition,0.8,High,1-2g,"Pregnancy, Constipation","Arjuna, Arjuna"
11,157,herbtreatscondition,0.75,Medium,1-2g,"Pregnancy, Constipation","Arjuna, Pushkaramoola"
12,15,herbtreatscondition,0.9,High,3-5g,"Pregnancy, Diarrhea","Haritaki, Bibhitaki"
12,86,herbtreatscondition,0.8,High,3-5g,"Pregnancy, Diarrhea","Haritaki, Amalaki"
12,113,herbtreatscondition,0.85,High,3-5g,"Pregnancy, Diarrhea","Triphala, Amalaki"
13,15,herbtreatscondition,0.82,High,2-4g,"Pregnancy, Constipation","Bibhitaki, Haritaki"
13,58,herbtreatscondition,0.75,Medium,2-4g,"Pregnancy, Constipation","Haritaki, Amalaki"
13,86,herbtreatscondition,0.8,High,2-4g,"Pregnancy, Constipation","Triphala, Haritaki"
14,6,herbtreatscondition,0.85,High,1-2g,"Hypertension, Pregnancy","Yashtimadhu, Licorice"
14,25,herbtreatscondition,0.78,Medium,1-2g,"Hypertension, Pregnancy","Mulethi, Licorice"
14,62,herbtreatscondition,0.82,High,1-2g,"Hypertension, Pregnancy","Yashtimadhu, Mulethi"
15,3,herbtreatscondition,0.8,High,250-500mg,"Bleeding disorders, Pitta excess","Pippali, Maricha"
15,23,herbtreatscondition,0.85,High,250-500mg,"Bleeding disorders, Pitta excess","Maricha, Chitrak"
15,25,herbtreatscondition,0.75,Medium,250-500mg,"Bleeding disorders, Pitta excess","Pippali, Ginger"
16,64,herbtreatscondition,0.82,High,500-1000mg,"Pregnancy, Pitta excess","Gokshura, Punarnava"
16,163,herbtreatscondition,0.75,Medium,500-1000mg,"Pregnancy, Pitta excess","Punarnava, Gokshura"
16,178,herbtreatscondition,0.8,High,500-1000mg,"Pregnancy, Pitta excess","Punarnava, Varuna"
17,1,herbtreatscondition,0.75,Medium,250-500mg,"Pregnancy, Bradycardia","Shankhapushpi, Brahmi"
17,4,herbtreatscondition,0.8,High,250-500mg,"Pregnancy, Bradycardia","Brahmi, Jatamansi"
17,9,herbtreatscondition,0.85,High,250-500mg,"Pregnancy, Bradycardia","Shankhapushpi, Medhya herbs"
18,1,herbtreatscondition,0.82,High,250-500mg,"Pregnancy, Depression","Jatamansi, Brahmi"
18,4,herbtreatscondition,0.75,Medium,250-500mg,"Pregnancy, Depression","Jatamansi, Shankhapushpi"
18,13,herbtreatscondition,0.8,High,250-500mg,"Pregnancy, Depression","Jatamansi, Ashwagandha"
19,5,herbtreatscondition,0.85,High,1-2g,"Pregnancy, Diarrhea","Bhringraj, Neem"
19,27,herbtreatscondition,0.8,High,1-2g,"Pregnancy, Diarrhea","Bhringraj, Manjistha"
19,28,herbtreatscondition,0.75,Medium,1-2g,"Pregnancy, Diarrhea","Kutki, Bhringraj"
20,5,herbtreatscondition,0.82,High,1-2g,"Pregnancy, Low blood pressure","Manjistha, Neem"
20,27,herbtreatscondition,0.85,High,1-2g,"Pregnancy, Low blood pressure","Manjistha, Haridra"
20,29,herbtreatscondition,0.75,Medium,1-2g,"Pregnancy, Low blood pressure","Sunth, Manjistha"
21,77,herbtreatscondition,0.85,High,250-500mg,"Pregnancy, Weak digestion","Kutki, Daru haridra"
21,78,herbtreatscondition,0.8,High,250-500mg,"Pregnancy, Weak digestion","Katuka, Kutki"
21,130,herbtreatscondition,0.75,Medium,250-500mg,"Pregnancy, Weak digestion","Kutki, Bhunimba"
22,3,herbtreatscondition,0.8,High,500-1000mg,"Pregnancy, Autoimmune conditions","Guduchi, Amalaki"
22,12,herbtreatscondition,0.85,High,500-1000mg,"Pregnancy, Autoimmune conditions","Guduchi, Haridra"
22,148,herbtreatscondition,0.78,Medium,500-1000mg,"Pregnancy, Autoimmune conditions","Guduchi, Neem"
23,3,herbtreatscondition,0.75,High,500mg-1g,"Diarrhea, Hyperacidity","Amalaki, Baheda"
23,8,herbtreatscondition,0.8,High,500mg-1g,"Diarrhea, Hyperacidity","Amalaki, Ashwagandha"
23,12,herbtreatscondition,0.85,High,500mg-1g,"Diarrhea, Hyperacidity","Amalaki, Haritaki"
24,3,herbtreatscondition,0.82,High,250-500mg,"Pregnancy, Ulcers","Chitrak, Pippali"
24,23,herbtreatscondition,0.75,Medium,250-500mg,"Pregnancy, Ulcers","Chitrak, Maricha"
24,25,herbtreatscondition,0.8,High,250-500mg,"Pregnancy, Ulcers","Chitrak, Ginger"
25,10,herbtreatscondition,0.85,High,1-2g,"Pregnancy, Dehydration","Punarnava, Gokshura"
25,65,herbtreatscondition,0.8,High,1-2g,"Pregnancy, Dehydration","Punarnava, Varuna"
25,179,herbtreatscondition,0.75,Medium,1-2g,"Pregnancy, Dehydration","Punarnava, Gokshura"
26,15,herbtreatscondition,0.75,Medium,250-500mg,"Pregnancy, Excess Vata","Mustak, Haritaki"
26,21,herbtreatscondition,0.8,High,250-500mg,"Pregnancy, Excess Vata","Mustak, Kutki"
26,86,herbtreatscondition,0.78,Medium,250-500mg,"Pregnancy, Excess Vata","Mustak, Haritaki"
27,2,herbtreatscondition,0.9,High,500-1000mg,"Gallstones, Pregnancy","Haridra, Black pepper"
27,3,herbtreatscondition,0.75,Medium,500-1000mg,"Gallstones, Pregnancy","Haridra, Amla"
27,5,herbtreatscondition,0.8,High,500-1000mg,"Gallstones, Pregnancy","Haridra, Neem"
28,77,herbtreatscondition,0.82,High,250-500mg,"Pregnancy, Weak digestion","Daru haridra, Kutki"
28,78,herbtreatscondition,0.75,Medium,250-500mg,"Pregnancy, Weak digestion","Daru haridra, Katuka"
28,130,herbtreatscondition,0.8,High,250-500mg,"Pregnancy, Weak digestion","Daru haridra, Bhunimba"
29,3,herbtreatscondition,0.8,High,1-3g,"Bleeding disorders, Pitta excess","Sunth, Black pepper"
29,11,herbtreatscondition,0.7,Medium,1-3g,"Bleeding disorders, Pitta excess","Sunth, Garlic"
29,15,herbtreatscondition,0.75,Medium,1-3g,"Bleeding disorders, Pitta excess","Sunth, Clove"
30,6,herbtreatscondition,0.85,High,1-2g,"Hypertension, Pregnancy","Mulethi, Licorice"
30,25,herbtreatscondition,0.78,Medium,1-2g,"Hypertension, Pregnancy","Mulethi, Yashtimadhu"
30,62,herbtreatscondition,0.82,High,1-2g,"Hypertension, Pregnancy","Mulethi, Yashtimadhu"
31,6,herbtreatscondition,0.8,High,250-500mg,"Pregnancy, Bleeding disorders","Kalonji, Ginger"
31,16,herbtreatscondition,0.75,Medium,250-500mg,"Pregnancy, Bleeding disorders","Kalonji, Black seed"
31,31,herbtreatscondition,0.82,High,250-500mg,"Pregnancy, Bleeding disorders","Kalonji, Maricha"
32,32,herbtreatscondition,0.85,High,1-2g,"Pregnancy, Diabetes","Safed musli, Ashwagandha"
32,69,herbtreatscondition,0.8,High,1-2g,"Pregnancy, Diabetes","Safed musli, Shatavari"
32,166,herbtreatscondition,0.75,Medium,1-2g,"Pregnancy, Diabetes","Safed musli, Gokshura"
33,8,herbtreatscondition,0.82,High,250-500mg,"Pregnancy, Hot constitution","Shilajit, Ashwagandha"
33,32,herbtreatscondition,0.75,Medium,250-500mg,"Pregnancy, Hot constitution","Shilajit, Safed musli"
33,69,herbtreatscondition,0.8,High,250-500mg,"Pregnancy, Hot constitution","Shilajit, Vidarikanda"
34,8,herbtreatscondition,0.75,Medium,500-1000mg,"Pregnancy, Obesity","Vidarikanda, Ashwagandha"
34,10,herbtreatscondition,0.8,High,500-1000mg,"Pregnancy, Obesity","Vidarikanda, Gokshura"
34,34,herbtreatscondition,0.85,High,500-1000mg,"Pregnancy, Obesity","Vidarikanda, Shilajit"
35,1,herbtreatscondition,0.82,High,250-500mg,"Pregnancy, Bradycardia","Medhya herbs, Brahmi"
35,4,herbtreatscondition,0.75,Medium,250-500mg,"Pregnancy, Bradycardia","Medhya herbs, Shankhapushpi"
35,9,herbtreatscondition,0.8,High,250-500mg,"Pregnancy, Bradycardia","Medhya herbs, Mandukaparni"
36,2,herbtreatscondition,0.85,High,250-500mg,"Pregnancy, Bleeding disorders","Rasna, Guggulu"
36,7,herbtreatscondition,0.8,High,250-500mg,"Pregnancy, Bleeding disorders","Rasna, Shallaki"
36,19,herbtreatscondition,0.82,High,250-500mg,"Pregnancy, Bleeding disorders","Rasna, Eranda"
37,15,herbtreatscondition,0.75,Medium,1-2g,"Pregnancy, Diarrhea","Eranda, Haritaki"
37,86,herbtreatscondition,0.8,High,1-2g,"Pregnancy, Diarrhea","Eranda, Amalaki"
37,113,herbtreatscondition,0.78,Medium,1-2g,"Pregnancy, Diarrhea","Eranda, Triphala"
38,2,herbtreatscondition,0.82,High,250-500mg,"Pregnancy, Bleeding disorders","Nirgundi, Guggulu"
38,7,herbtreatscondition,0.75,Medium,250-500mg,"Pregnancy, Bleeding disorders","Nirgundi, Shallaki"
38,19,herbtreatscondition,0.8,High,250-500mg,"Pregnancy, Bleeding disorders","Nirgundi, Rasna"
39,2,herbtreatscondition,0.85,High,250-500mg,"Pregnancy, Ulcers","Bhallataka, Guggulu"
39,23,herbtreatscondition,0.78,Medium,250-500mg,"Pregnancy, Ulcers","Bhallataka, Chitrak"
39,25,herbtreatscondition,0.82,High,250-500mg,"Pregnancy, Ulcers","Bhallataka, Ginger"
40,40,herbtreatscondition,0.9,High,1-2g,"Pregnancy, Excess Kapha","Asthisrinkhala, Guggulu"
40,51,herbtreatscondition,0.8,High,1-2g,"Pregnancy, Excess Kapha","Asthisrinkhala, Hadjod"
40,151,herbtreatscondition,0.85,High,1-2g,"Pregnancy, Excess Kapha","Asthisrinkhala, Shilajit"
41,12,herbtreatscondition,0.82,High,250-500mg,"Pregnancy, Weak digestion","Karavellaka, Kutki"
41,77,herbtreatscondition,0.75,Medium,250-500mg,"Pregnancy, Weak digestion","Karavellaka, Daru haridra"
41,78,herbtreatscondition,0.8,High,250-500mg,"Pregnancy, Weak digestion","Karavellaka, Katuka"
42,6,herbtreatscondition,0.85,High,1-2g,"Hypertension, Pregnancy","Madhuyasti, Licorice"
42,25,herbtreatscondition,0.78,Medium,1-2g,"Hypertension, Pregnancy","Madhuyasti, Yashtimadhu"
42,62,herbtreatscondition,0.82,High,1-2g,"Hypertension, Pregnancy","Madhuyasti, Mulethi"
43,2,herbtreatscondition,0.8,High,250-500mg,"Pregnancy, Bleeding disorders","Devadaru, Guggulu"
43,7,herbtreatscondition,0.75,Medium,250-500mg,"Pregnancy, Bleeding disorders","Devadaru, Shallaki"
43,19,herbtreatscondition,0.82,High,250-500mg,"Pregnancy, Bleeding disorders","Devadaru, Rasna"
44,7,herbtreatscondition,0.85,High,1-2g,"Pregnancy, Obesity","Bala, Atibala"
44,44,herbtreatscondition,0.8,High,1-2g,"Pregnancy, Obesity","Bala, Sida"
44,45,herbtreatscondition,0.82,High,1-2g,"Pregnancy, Obesity","Bala, Atibala"
45,7,herbtreatscondition,0.82,High,1-2g,"Pregnancy, Obesity","Atibala, Bala"
45,44,herbtreatscondition,0.85,High,1-2g,"Pregnancy, Obesity","Atibala, Sida"
45,146,herbtreatscondition,0.75,Medium,1-2g,"Pregnancy, Obesity","Atibala, Musli"
46,6,herbtreatscondition,0.8,High,250-500mg,"Pregnancy, Bleeding disorders","Kantakari, Ginger"
46,16,herbtreatscondition,0.75,Medium,250-500mg,"Pregnancy, Bleeding disorders","Kantakari, Pippali"
46,31,herbtreatscondition,0.82,High,250-500mg,"Pregnancy, Bleeding disorders","Kantakari, Maricha"
47,77,herbtreatscondition,0.75,Medium,250-500mg,"Pregnancy, Weak digestion","Kashmarya, Daru haridra"
47,78,herbtreatscondition,0.8,High,250-500mg,"Pregnancy, Weak digestion","Kashmarya, Katuka"
47,130,herbtreatscondition,0.78,Medium,250-500mg,"Pregnancy, Weak digestion","Kashmarya, Bhunimba"
48,37,herbtreatscondition,0.82,High,1-2g,"Pregnancy, Constipation","Parushaka, Arjuna"
48,39,herbtreatscondition,0.75,Medium,1-2g,"Pregnancy, Constipation","Parushaka, Arjuna"
48,157,herbtreatscondition,0.8,High,1-2g,"Pregnancy, Constipation","Parushaka, Pushkaramoola"
49,15,herbtreatscondition,0.85,High,2-4g,"Pregnancy, Constipation","Udumbara, Haritaki"
49,58,herbtreatscondition,0.78,Medium,2-4g,"Pregnancy, Constipation","Udumbara, Amalaki"
49,86,herbtreatscondition,0.82,High,2-4g,"Pregnancy, Constipation","Udumbara, Triphala"
50,15,herbtreatscondition,0.8,High,2-4g,"Pregnancy, Constipation","Plaksha, Haritaki"
50,58,herbtreatscondition,0.75,Medium,2-4g,"Pregnancy, Constipation","Plaksha, Amalaki"
50,86,herbtreatscondition,0.82,High,2-4g,"Pregnancy, Constipation","Plaksha, Triphala"
151,201,herbtreatscondition,0.85,High,3-5g,"Pregnancy, Autoimmune conditions","Guduchi, Amalaki"
151,228,herbtreatscondition,0.8,High,3-5g,"Pregnancy, Liver disorders","Kutki, Daru haridra"
151,229,herbtreatscondition,0.75,Medium,3-5g,"Pregnancy, Liver disorders","Kutki, Bhunimba"
152,3,herbtreatscondition,0.9,High,5-10g,"Diarrhea, Intestinal obstruction","Haritaki, Bibhitaki"
152,15,herbtreatscondition,0.85,High,5-10g,"Diarrhea, Intestinal obstruction","Haritaki, Amalaki"
152,21,herbtreatscondition,0.82,High,5-10g,"Diarrhea, Intestinal obstruction","Haritaki, Triphala"
152,84,herbtreatscondition,0.78,Medium,5-10g,"Diarrhea, Intestinal obstruction","Haritaki, Mustak"
152,113,herbtreatscondition,0.8,High,5-10g,"Diarrhea, Intestinal obstruction","Haritaki, Amalaki"
153,15,herbtreatscondition,0.82,High,2-4g,"Pregnancy, Constipation","Bibhitaki, Haritaki"
153,58,herbtreatscondition,0.75,Medium,2-4g,"Pregnancy, Constipation","Bibhitaki, Amalaki"
153,86,herbtreatscondition,0.8,High,2-4g,"Pregnancy, Constipation","Bibhitaki, Triphala"
154,3,herbtreatscondition,0.75,High,500mg-1g,"Diarrhea, Hyperacidity","Amalaki, Baheda"
154,8,herbtreatscondition,0.8,High,500mg-1g,"Diarrhea, Hyperacidity","Amalaki, Ashwagandha"
154,12,herbtreatscondition,0.85,High,500mg-1g,"Diarrhea, Hyperacidity","Amalaki, Haritaki"
154,24,herbtreatscondition,0.78,Medium,500mg-1g,"Diarrhea, Hyperacidity","Amalaki, Bibhitaki"
154,76,herbtreatscondition,0.82,High,500mg-1g,"Diarrhea, Hyperacidity","Amalaki, Baheda"
155,6,herbtreatscondition,0.85,High,1-2g,"Hypertension, Pregnancy","Yashtimadhu, Licorice"
155,25,herbtreatscondition,0.78,Medium,1-2g,"Hypertension, Pregnancy","Yashtimadhu, Mulethi"
155,62,herbtreatscondition,0.82,High,1-2g,"Hypertension, Pregnancy","Yashtimadhu, Mulethi"
156,3,herbtreatscondition,0.8,High,250-500mg,"Bleeding disorders, Pitta excess","Pippali, Maricha"
156,23,herbtreatscondition,0.85,High,250-500mg,"Bleeding disorders, Pitta excess","Pippali, Chitrak"
156,25,herbtreatscondition,0.75,Medium,250-500mg,"Bleeding disorders, Pitta excess","Pippali, Ginger"
156,144,herbtreatscondition,0.82,High,250-500mg,"Bleeding disorders, Pitta excess","Pippali, Maricha"
157,3,herbtreatscondition,0.9,High,500-1000mg,"Gallstones, Pregnancy","Maricha, Black pepper"
157,5,herbtreatscondition,0.8,High,500-1000mg,"Gallstones, Pregnancy","Maricha, Turmeric"
157,23,herbtreatscondition,0.85,High,500-1000mg,"Gallstones, Pregnancy","Maricha, Amla"
157,25,herbtreatscondition,0.78,Medium,500-1000mg,"Gallstones, Pregnancy","Maricha, Haritaki"
157,76,herbtreatscondition,0.82,High,500-1000mg,"Gallstones, Pregnancy","Maricha, Pippali"
157,77,herbtreatscondition,0.75,Medium,500-1000mg,"Gallstones, Pregnancy","Maricha, Kutki"
158,3,herbtreatscondition,0.8,High,1-3g,"Bleeding disorders, Pitta excess","Sunth, Black pepper"
158,11,herbtreatscondition,0.7,Medium,1-3g,"Bleeding disorders, Pitta excess","Sunth, Garlic"
158,15,herbtreatscondition,0.75,Medium,1-3g,"Bleeding disorders, Pitta excess","Sunth, Clove"
158,23,herbtreatscondition,0.82,High,1-3g,"Bleeding disorders, Pitta excess","Sunth, Maricha"
158,25,herbtreatscondition,0.75,Medium,1-3g,"Bleeding disorders, Pitta excess","Sunth, Pippali"
159,3,herbtreatscondition,0.85,High,250-500mg,"Gallstones, Pregnancy","Chavya, Black pepper"
159,5,herbtreatscondition,0.75,Medium,250-500mg,"Gallstones, Pregnancy","Chavya, Turmeric"
159,23,herbtreatscondition,0.8,High,250-500mg,"Gallstones, Pregnancy","Chavya, Amla"
159,25,herbtreatscondition,0.78,Medium,250-500mg,"Gallstones, Pregnancy","Chavya, Haritaki"
160,3,herbtreatscondition,0.82,High,250-500mg,"Pregnancy, Ulcers","Chitraka, Pippali"
160,23,herbtreatscondition,0.75,Medium,250-500mg,"Pregnancy, Ulcers","Chitraka, Maricha"
160,25,herbtreatscondition,0.8,High,250-500mg,"Pregnancy, Ulcers","Chitraka, Ginger"
161,10,herbtreatscondition,0.85,High,1-2g,"Pregnancy, Dehydration","Punarnava, Gokshura"
161,65,herbtreatscondition,0.8,High,1-2g,"Pregnancy, Dehydration","Punarnava, Varuna"
161,179,herbtreatscondition,0.75,Medium,1-2g,"Pregnancy, Dehydration","Punarnava, Gokshura"
162,15,herbtreatscondition,0.75,Medium,250-500mg,"Pregnancy, Excess Vata","Mustak, Haritaki"
162,21,herbtreatscondition,0.8,High,250-500mg,"Pregnancy, Excess Vata","Mustak, Kutki"
162,86,herbtreatscondition,0.78,Medium,250-500mg,"Pregnancy, Excess Vata","Mustak, Haritaki"
163,64,herbtreatscondition,0.82,High,500-1000mg,"Pregnancy, Pitta excess","Gokshura, Punarnava"
163,163,herbtreatscondition,0.75,Medium,500-1000mg,"Pregnancy, Pitta excess","Punarnava, Gokshura"
163,178,herbtreatscondition,0.8,High,500-1000mg,"Pregnancy, Pitta excess","Punarnava, Varuna"
164,77,herbtreatscondition,0.82,High,250-500mg,"Pregnancy, Weak digestion","Kakamachi, Daru haridra"
164,78,herbtreatscondition,0.75,Medium,250-500mg,"Pregnancy, Weak digestion","Kakamachi, Katuka"
164,130,herbtreatscondition,0.8,High,250-500mg,"Pregnancy, Weak digestion","Kakamachi, Bhunimba"
165,2,herbtreatscondition,0.85,High,250-500mg,"Pregnancy, Ulcers","Karavira, Guggulu"
165,23,herbtreatscondition,0.78,Medium,250-500mg,"Pregnancy, Ulcers","Karavira, Chitrak"
165,25,herbtreatscondition,0.82,High,250-500mg,"Pregnancy, Ulcers","Karavira, Ginger"
166,2,herbtreatscondition,0.82,High,250-500mg,"Pregnancy, Bleeding disorders","Arka, Guggulu"
166,7,herbtreatscondition,0.75,Medium,250-500mg,"Pregnancy, Bleeding disorders","Arka, Shallaki"
166,19,herbtreatscondition,0.8,High,250-500mg,"Pregnancy, Bleeding disorders","Arka, Eranda"
167,15,herbtreatscondition,0.75,Medium,2-4g,"Pregnancy, Constipation","Ashwattha, Haritaki"
167,58,herbtreatscondition,0.8,High,2-4g,"Pregnancy, Constipation","Ashwattha, Amalaki"
167,86,herbtreatscondition,0.85,High,2-4g,"Pregnancy, Constipation","Ashwattha, Triphala"
168,37,herbtreatscondition,0.82,High,1-2g,"Pregnancy, Constipation","Palasha, Arjuna"
168,39,herbtreatscondition,0.75,Medium,1-2g,"Pregnancy, Constipation","Palasha, Arjuna"
168,157,herbtreatscondition,0.8,High,1-2g,"Pregnancy, Constipation","Palasha, Pushkaramoola"
169,77,herbtreatscondition,0.75,Medium,250-500mg,"Pregnancy, Weak digestion","Shyonaka, Daru haridra"
169,78,herbtreatscondition,0.8,High,250-500mg,"Pregnancy, Weak digestion","Shyonaka, Katuka"
169,130,herbtreatscondition,0.78,Medium,250-500mg,"Pregnancy, Weak digestion","Shyonaka, Bhunimba"
170,77,herbtreatscondition,0.82,High,250-500mg,"Pregnancy, Weak digestion","Patala, Daru haridra"
170,78,herbtreatscondition,0.75,Medium,250-500mg,"Pregnancy, Weak digestion","Patala, Katuka"
170,130,herbtreatscondition,0.8,High,250-500mg,"Pregnancy, Weak digestion","Patala, Bhunimba"
171,15,herbtreatscondition,0.9,High,3-5g,"Pregnancy, Diarrhea","Khadira, Bibhitaki"
171,86,herbtreatscondition,0.8,High,3-5g,"Pregnancy, Diarrhea","Khadira, Amalaki"
171,113,herbtreatscondition,0.85,High,3-5g,"Pregnancy, Diarrhea","Khadira, Triphala"
172,21,herbtreatscondition,0.75,Medium,250-500mg,"Pregnancy, Dehydration","Apamarga, Mustak"
172,86,herbtreatscondition,0.8,High,250-500mg,"Pregnancy, Dehydration","Apamarga, Haritaki"
172,113,herbtreatscondition,0.78,Medium,250-500mg,"Pregnancy, Dehydration","Apamarga, Amalaki"
173,4,herbtreatscondition,0.7,Medium,1-2g,"Cough, Kapha excess","Shatavari, Licorice"
173,13,herbtreatscondition,0.75,Medium,1-2g,"Cough, Kapha excess","Shatavari, Ashoka"
173,62,herbtreatscondition,0.8,High,1-2g,"Cough, Kapha excess","Shatavari, Kantakari"
173,66,herbtreatscondition,0.72,Medium,1-2g,"Cough, Kapha excess","Shatavari, Yashtimadhu"
173,171,herbtreatscondition,0.75,Medium,1-2g,"Cough, Kapha excess","Shatavari, Pushkaramoola"
174,3,herbtreatscondition,0.8,High,500-1000mg,"Pregnancy, Autoimmune conditions","Guduchi, Amalaki"
